adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/eDyvXwt28aR6xlKICYyK0896FN0.jpg,"[28, 18]",1270410,zh,新龙门客栈,,2.037,/t3YXnzkDugW6BCK4L7U9ctRfE4f.jpg,2024-04-06,The New Dragon Inn,False,4.0,1
False,/xvwtpuCisWpQGwx7Lo1gY8xv0Fd.jpg,[18],1253462,en,In Bloom,"Explores characters at life-defining moments regarding gender issues like period poverty, child marriage, HIV stigma, family planning, and women's empowerment.",2.037,/zB4gG8oFZAzaY3iRS6DvLFOExJ8.jpg,2024-03-01,In Bloom,False,7.167,6
False,/ApZ3UW1G03l6f3Selo28vyqM65S.jpg,"[80, 18]",1236035,en,Dutch II: Angel's Revenge,"""Dutch II"" seamlessly continues the success of its predecessor, ""Dutch"" (2020), delving into the complex underworld of crime and redemption. The film follows an ambitious heroin dealer with sights set on becoming the East Coast's most feared drug lord while simultaneously battling a high-profile court case.",2.037,/yedPfHtkOh769CyybiaLrF8rOBc.jpg,2024-01-18,Dutch II: Angel's Revenge,False,0.0,0
False,/rPJzSvaOcssRPegJkKS7UVa8Ib3.jpg,[18],1230097,ta,ப்ளூ ஸ்டார்,The captains of two rival village cricket teams must put their longstanding grudge aside in order to take on the bullies threatening their right to play.,2.037,/8agxJ2Wv8EitO1xwF2HgxnyloCI.jpg,2024-01-25,Blue Star,False,6.8,5
False,/oiu9eh71LcUBDiLrXBnjX7glQM7.jpg,"[53, 27]",1307154,en,Sinister Surgeon,A young doctor’s dream job with a top cosmetic surgeon becomes a nightmare when she fears that he may secretly be murdering his patients.,2.036,/6PoXKttupYRTOYYI2iX8vAwAXXh.jpg,2024-07-06,Sinister Surgeon,False,7.8,2
False,/keOuoas2PYplATIcVQKLgZyizhm.jpg,"[53, 10770]",1282702,en,The Replacement Daughter,"When Liza gets mysteriously struck by a hit and run driver, her teenage daughter Jessica finds herself alone and with no one to look after her. When wealthy Eva offers to take care of her, Jessica can’t help but be seduced by Eva’s world. However, nothing is what it seems, and Jessica now must come up with a plan to save herself…and her comatose mother.",2.036,/i1J0ATcgidwebOTk6qaAWCEX8Ky.jpg,2024-04-28,The Replacement Daughter,False,7.0,1
False,,[99],1220815,da,Death of a Saint,"A Danish director travels to Uganda to find out what happened the Christmas Eve her mother lost her life. A personal and life-affirming film about family, motherhood and confronting the past.",2.036,/aqydJbbDay1tCb0FGsnQ89fx2ol.jpg,2024-03-13,Death of a Saint,False,0.0,0
False,/CUJ6Rntx5qm1Oyp6JiiPnhmN7w.jpg,[27],1140017,en,Granny Krampus,An estranged family are brought together for a final reunion at the old family home for Christmas. They quickly find themselves at the mercy of a nightmarish entity from the past.,2.034,/2nkZkM5QvfHfDtJFTZaOR9IM2rR.jpg,2024-03-01,Granny Krampus,False,2.5,2
False,,"[18, 99]",1233328,en,barrunto,"barrunto is a speculative fiction that takes place in a future of the past, in a present ruptured now. Its far-reaching network of affinities spans from Puerto Rico to Scotland, from the land to the bottom of the sea, and all the way to planet Uranus.",2.033,/th2bzBNJIHOe3rqWcTfvo8g3Jqk.jpg,2024-02-20,barrunto,False,0.0,0
False,,[18],1382282,fi,Kuusi,"Marco, a lovable but stubborn and stingy man, decides to steal a Christmas tree from the forest during a blizzard. Trouble arises when his girlfriend, Vera, learns about the plan, and doesn’t approve of it. Upset, she leaves Marco to his own devices and heads home. Alone in the forest, Marco has to learn how to ask for forgiveness.",2.031,/mcOVmFoVBPOXqDuQaIhyxEYniYg.jpg,2024-11-14,Xmas Tree,False,0.0,0
False,/3RPaEKrizI1d2t2oTSCO2eXKB25.jpg,"[16, 878, 27, 35]",1400097,de,Boys to Men - Bro to Bro,,2.03,/m68mXMeAhDobPh3x2KR3sIZ3iEb.jpg,2024-12-12,Boys to Men - Bro to Bro,False,10.0,1
False,,[99],1386050,lt,Gabrielius iš neprarasto rojaus,Autistic teenager Gabriel witnesses the slow collapse of his parents’ relationship.,2.03,/8wxIyQ96q1BiS8glNre0kK9C1M1.jpg,2024-11-14,Paradise Not Lost,False,0.0,0
False,/irc2piJwnaaVGJfjhd41hTAjSzK.jpg,[99],1321365,en,Homegrown,"Three Trump supporters from different backgrounds unite to campaign across America in 2020, advocating for his re-election while laying foundations for what they hope will be a long-lasting political movement.",2.03,/uRM6QZt8zF9FqewZrozBQxVFZhd.jpg,2024-08-30,Homegrown,False,6.5,1
False,/pFG187S8vK4n9U0fkAwajOI1C1u.jpg,[99],1265505,et,Kelly – kellegi teise unistus,"Kelly Sildaru, the freestyle prodigy, tells the story of her decade of suffering in order to recover and give a voice to those who are still victimized.",2.03,/lccUI8BKRkiSp571fzYXt34AQ9D.jpg,2024-10-25,Kelly - Someone Else's Dream,False,0.0,0
False,,[99],881680,en,Frank Miller: American Genius,"Explore the near half-century career of the legendary comic book artist and writer. Made for his fans following a near death experience, the documentary delves into Miller's radical and defining influence on art, storytelling and culture. Following his small town beginnings in Vermont, to New York City, Hollywood, and beyond; this intimate documentary delves into his failures, successes, self-destruction and re-discovery.",2.03,/xcVc5RdduDlbSsz8wPnamOSLeMH.jpg,2024-06-10,Frank Miller: American Genius,False,7.0,1
False,,[99],1382808,pt,Pink Dolphin,,2.029,/rqa4hBD2ZOgJBkIvxb9tPvw15HI.jpg,2024-11-04,Pink Dolphin,False,0.0,0
